id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
65,700,952,5,58022.14530310041,17458.4984729292,"(643, 891, 758, 1014)",10805,S,6,6,-1
76,699,951,6,57766.46054809638,17513.153761265403,"(641, 891, 759, 1011)",10874,S,6,6,-1
88,700,953,7,58132.26644890341,17982.24582361176,"(642, 894, 758, 1013)",10715,S,6,6,-1
100,698,954,8,57864.094480909676,18360.813811592863,"(640, 894, 757, 1013)",10817,S,6,6,-1
112,698,956,9,58168.21990975228,18744.273597937194,"(639, 896, 756, 1017)",10859,S,6,6,-1
125,699,957,10,58126.30301917959,19340.654859135542,"(640, 897, 758, 1017)",10897,S,6,6,-1
137,698,960,11,57980.02190116868,19479.809054936966,"(640, 901, 757, 1021)",10867,S,6,6,-1
149,697,961,12,58163.956465833944,20380.223548861133,"(639, 902, 756, 1022)",10888,S,6,6,-1
161,700,961,13,57930.28668565653,21501.768721859782,"(641, 901, 759, 1021)",10883,S,6,6,-1
173,698,960,14,58368.78128380815,23580.306076451496,"(639, 900, 758, 1020)",11092,S,6,6,-1
185,700,957,15,58925.82540244118,26200.632849814257,"(640, 896, 761, 1018)",11306,G2,6,6,-1
197,700,959,16,59503.60879338248,28776.80731882755,"(640, 899, 761, 1023)",11122,G2,6,6,-1
209,701,959,17,59053.14256673148,30840.802810677036,"(640, 898, 762, 1022)",11314,G2,6,6,-1
221,701,966,18,58152.5376651196,32383.524991074617,"(642, 905, 761, 1039)",11204,G2,6,6,-1
233,702,966,19,59144.06054527218,33346.324245463664,"(643, 907, 762, 1026)",10967,G2,6,6,-1
8,741,563,0,1628.256230705519,35584.15044047888,"(681, 485, 801, 639)",13281,G1,7,7,-1
20,738,562,1,1722.7407435508346,35716.39317147193,"(678, 484, 797, 637)",13180,G1,7,7,-1
32,734,567,2,1744.5939612106965,33934.68615927123,"(671, 491, 793, 642)",13612,G1,7,7,-1
44,732,569,3,1742.6191830780451,33697.30554339898,"(667, 494, 792, 644)",13710,G1,7,7,-1
55,727,571,4,1729.9589093408692,34630.45925303597,"(665, 495, 786, 645)",13093,G1,7,7,-1
66,726,572,5,1722.9987866838553,34240.679684537805,"(663, 496, 786, 646)",13187,G1,7,7,-1
77,726,569,6,1674.6396451050277,33600.09001289149,"(663, 492, 786, 644)",13187,G1,7,7,-1
89,726,571,7,1690.623423970834,33387.51002582409,"(663, 494, 785, 645)",13166,G1,7,7,-1
101,724,573,8,1719.4925159834524,33064.80473862354,"(661, 496, 783, 648)",13295,G1,7,7,-1
113,724,576,9,1745.5686215463375,32644.699917187383,"(661, 500, 783, 651)",13283,G1,7,7,-1
126,728,577,10,1678.732342007435,32961.251346635305,"(666, 500, 787, 653)",13181,G1,7,7,-1
138,729,577,11,1716.4976857121178,32138.292359056075,"(667, 501, 788, 653)",13179,G1,7,7,-1
150,727,579,12,1709.496375717306,32693.57845061915,"(665, 504, 787, 654)",13244,G1,7,7,-1
162,728,580,13,1725.6202330508474,33480.83512409201,"(667, 503, 788, 655)",13216,G1,7,7,-1
174,727,582,14,1841.0562285030655,35527.261851353374,"(666, 505, 787, 657)",13374,G1,7,7,-1
186,728,584,15,2077.183703813843,38794.759200059474,"(667, 506, 787, 661)",13451,G1,7,7,-1
198,726,586,16,2378.115894775843,40736.49551685809,"(666, 509, 785, 662)",13495,G1,7,7,-1
210,726,586,17,2330.018567639257,43068.49440023578,"(665, 508, 785, 662)",13572,G1,7,7,-1
222,724,580,18,2327.385653230537,44112.57873124948,"(664, 509, 784, 637)",11933,G1,7,7,-1
234,726,580,19,2283.136691230059,44181.89537614382,"(665, 509, 784, 640)",12349,G1,7,7,-1
9,841,758,0,38244.46086784228,12973.186051119477,"(772, 700, 903, 810)",10094,S,8,8,-1
21,843,757,1,37865.8998728855,13715.538769922754,"(779, 703, 906, 811)",10227,S,8,8,-1
33,844,755,2,37760.1283596838,13769.798221343874,"(783, 701, 915, 810)",10120,S,8,8,-1
45,849,751,3,36617.20348445471,14175.97737992107,"(782, 678, 913, 808)",10389,S,8,8,-1
56,848,750,4,36821.44434841064,14400.903582060886,"(781, 687, 914, 807)",10413,S,8,8,-1
67,849,749,5,37258.49784028126,14748.717729784028,"(783, 677, 907, 805)",9955,S,8,8,-1
78,856,747,6,37336.95109577922,14688.345576298701,"(788, 691, 921, 800)",9856,S,8,8,-1
90,859,747,7,37533.195422719196,15170.929250705403,"(792, 694, 924, 799)",9569,S,8,8,-1
